question,链接匹配1,链接匹配2,共进行2406次测试
1861,0,0,
1862,0,0,
1863,0,0,
1864,0,0,
1865,0,0,
1866,0,0,
1867,1,1,
1868,0,0,
1869,0,0,
1870,0,0,
1871,0,0,
1872,0,0,
1873,0,0,
1874,0,0,
1875,0,0,
1876,0,0,
1877,0,0,
1878,0,0,
1879,0,0,
1880,0,0,
1881,1,0,
1882,1,1,
1883,1,1,
1884,1,0,
1885,1,0,
1886,1,1,
1887,1,0,
1888,0,0,
1889,1,0,
1890,1,0,
1891,0,0,
1892,1,1,
1893,1,1,
1894,1,1,
1895,1,1,
1896,1,1,
1897,1,0,
1898,1,1,
1899,1,1,
1900,1,1,
1901,1,0,
1902,1,1,
1903,1,0,
1904,1,1,
1905,1,1,
1906,1,1,
1907,1,1,
1908,0,0,
1909,0,0,
1910,0,0,
1911,1,0,
1912,0,0,
1913,0,1,
1914,0,0,
1915,1,0,
1916,1,1,
1917,1,1,
1918,1,1,
1919,0,1,
1920,1,1,
1921,0,0,
1922,0,0,
1923,0,0,
1924,0,0,
1925,1,1,
1926,1,0,
1927,1,1,
1928,1,0,
1929,1,0,
1930,0,0,
1931,1,1,
1932,1,0,
1933,0,0,
1934,1,0,
1935,1,1,
1936,1,1,
1937,1,1,
1938,0,1,
1939,0,0,
1940,0,0,
1941,1,1,
1942,1,1,
1943,0,0,
1944,1,1,
1945,0,0,
1946,1,1,
1947,0,0,
1948,0,0,
1949,0,0,
1950,0,0,
1951,0,0,
1952,0,0,
1953,0,0,
1954,0,0,
1955,0,0,
1956,0,0,
1957,0,0,
1958,0,0,
1959,0,0,
1960,0,0,
1961,0,0,
1962,0,0,
1963,0,0,
1964,0,0,
1965,0,0,
1966,0,0,
1967,0,1,
1968,0,0,
1969,0,0,
1970,0,0,
1971,1,1,
1972,1,1,
1973,1,1,
1974,1,1,
1975,0,1,
1976,0,0,
1977,1,1,
1978,0,0,
1979,1,1,
1980,1,0,
1981,1,1,
1982,1,1,
1983,1,1,
1984,1,0,
1985,1,1,
1986,1,1,
1987,0,0,
1988,1,0,
1989,1,0,
1990,1,1,
1991,1,1,
1992,0,0,
1993,1,1,
1994,1,0,
1995,1,1,
1996,0,1,
1997,0,0,
1998,0,0,
1999,0,0,
2000,0,0,
2001,0,0,
2002,0,0,
2003,0,0,
2004,0,0,
2005,0,0,
2006,0,0,
2007,0,0,
2008,0,0,
2009,0,0,
2010,0,0,
2011,0,0,
2012,0,0,
2013,0,0,
2014,0,0,
2015,0,0,
2016,0,0,
2017,0,0,
2018,0,0,
2019,0,0,
2020,0,0,
2021,0,0,
2022,0,0,
2023,0,0,
2024,0,0,
2025,0,0,
2026,0,0,
2027,0,0,
2028,0,0,
2029,0,0,
2030,0,0,
2031,0,0,
2032,0,1,
2033,0,0,
2034,0,0,
2035,0,1,
2036,0,1,
2037,0,0,
2038,1,1,
2039,0,0,
2040,1,0,
2041,0,1,
2042,1,0,
2043,1,1,
2044,1,1,
2045,1,1,
2046,1,1,
2047,1,0,
2048,0,1,
2049,1,1,
2050,1,1,
2051,0,0,
2052,1,0,
2053,1,1,
2054,1,0,
2055,0,0,
2056,1,1,
2057,1,1,
2058,1,1,
2059,0,0,
2060,1,0,
2061,0,0,
2062,1,1,
2063,1,1,
2064,0,1,
2065,0,0,
2066,0,0,
2067,0,0,
2068,0,0,
2069,0,0,
2070,0,0,
2071,0,0,
2072,0,0,
2073,0,0,
2074,0,0,
2075,0,0,
2076,0,0,
2077,0,0,
2078,0,0,
2079,0,0,
2080,0,0,
2081,0,0,
2082,0,0,
2083,0,0,
2084,0,0,
2085,0,0,
2086,0,0,
2087,0,0,
2088,0,0,
2089,1,1,
2090,0,0,
2091,1,1,
2092,1,1,
2093,1,0,
2094,0,1,
2095,0,0,
2096,1,1,
2097,0,1,
2098,1,1,
2099,1,1,
2100,1,0,
2101,1,1,
2102,1,0,
2103,1,1,
2104,1,1,
2105,1,1,
2106,0,0,
2107,0,0,
2108,0,0,
2109,0,0,
2110,0,0,
2111,1,0,
2112,0,0,
2113,0,0,
2114,0,0,
2115,0,0,
2116,0,0,
2117,0,0,
2118,1,0,
2119,0,0,
2120,0,1,
2121,0,0,
2122,0,0,
2123,0,0,
2124,0,0,
2125,0,0,
2126,0,0,
2127,0,0,
2128,0,0,
2129,0,0,
2130,0,0,
2131,0,0,
2132,0,0,
2133,0,0,
2134,0,0,
2135,0,1,
2136,0,0,
2137,0,0,
2138,0,0,
2139,0,0,
2140,0,0,
2141,0,0,
2142,0,0,
2143,0,0,
2144,0,0,
2145,0,0,
2146,0,0,
2147,0,0,
2148,0,0,
2149,0,0,
2150,0,0,
2151,0,0,
2152,0,0,
2153,1,1,
2154,0,0,
2155,0,0,
2156,0,0,
2157,0,0,
2158,0,0,
2159,0,0,
2160,1,1,
2161,1,1,
2162,0,0,
2163,0,0,
2164,0,0,
2165,0,0,
2166,0,0,
2167,0,0,
2168,0,0,
2169,0,0,
2170,0,0,
2171,0,0,
2172,0,0,
2173,0,0,
2174,0,0,
2175,0,0,
2176,0,0,
2177,0,0,
2178,0,0,
2179,0,0,
2180,0,0,
2181,0,0,
2182,0,0,
2183,0,0,
2184,0,0,
2185,0,0,
2186,0,0,
2187,0,0,
2188,0,0,
2189,0,1,
2190,0,0,
2191,0,0,
2192,0,0,
2193,0,0,
2194,0,0,
2195,0,0,
2196,0,0,
2197,0,0,
2198,0,0,
2199,0,0,
2200,0,0,
2201,0,1,
2202,0,0,
2203,0,0,
2204,0,0,
2205,0,0,
2206,0,0,
2207,0,0,
2208,0,0,
2209,0,0,
2210,0,0,
2211,0,0,
2212,0,0,
2213,0,0,
2214,1,0,
2215,0,0,
2216,0,0,
2217,0,0,
2218,1,1,
2219,0,0,
2220,0,0,
2221,0,0,
2222,0,0,
2223,1,1,
2224,0,0,
2225,1,1,
2226,0,0,
2227,0,0,
2228,0,0,
2229,0,0,
2230,0,0,
2231,1,1,
2232,0,0,
2233,0,1,
2234,0,0,
2235,0,0,
2236,1,0,
2237,0,0,
2238,0,0,
2239,0,0,
2240,0,0,
2241,0,0,
2242,0,0,
2243,0,0,
2244,0,0,
2245,0,0,
2246,0,0,
2247,0,0,
2248,0,0,
2249,0,0,
2250,0,0,
2251,0,0,
2252,0,0,
2253,0,0,
2254,0,0,
2255,0,0,
2256,0,0,
2257,0,0,
2258,1,0,
2259,0,0,
2260,0,0,
2261,0,0,
2262,0,0,
2263,0,0,
2264,0,0,
2265,0,0,
2266,0,1,
2267,0,0,
2268,0,0,
2269,0,0,
2270,0,0,
2271,0,0,
2272,0,0,
2273,1,0,
2274,0,0,
2275,0,1,
2276,0,0,
2277,0,0,
2278,0,0,
2279,0,0,
2280,0,0,
2281,0,0,
2282,0,0,
2283,0,0,
2284,1,0,
2285,0,0,
2286,0,0,
2287,0,0,
2288,0,0,
2289,0,0,
2290,0,0,
2291,0,0,
2292,0,0,
2293,0,0,
2294,0,0,
2295,0,0,
2296,0,1,
2297,0,1,
2298,1,0,
2299,0,0,
2300,1,0,
2301,0,0,
2302,0,0,
2303,0,0,
2304,0,0,
2305,0,0,
2306,0,0,
2307,0,0,
2308,0,0,
2309,0,0,
2310,1,0,
2311,0,0,
2312,0,0,
2313,0,0,
2314,0,0,
2315,0,0,
2316,0,0,
2317,0,0,
2318,0,0,
2319,1,0,
2320,0,0,
2321,1,0,
2322,0,1,
2323,0,0,
2324,0,0,
2325,0,0,
2326,0,0,
2327,0,0,
2328,0,0,
2329,0,0,
2330,0,0,
2331,0,0,
2332,0,0,
2333,1,0,
2334,0,0,
2335,0,0,
2336,0,0,
2337,0,0,
2338,0,0,
2339,0,0,
2340,0,0,
2341,0,0,
2342,0,0,
2343,0,0,
2344,1,0,
2345,0,0,
2346,0,1,
2347,0,0,
2348,0,0,
2349,0,0,
2350,0,0,
2351,0,0,
2352,0,0,
2353,0,0,
2354,0,1,
2355,0,0,
2356,0,0,
2357,0,1,
2358,0,0,
2359,0,0,
2360,0,0,
2361,0,1,
2362,0,0,
2363,0,0,
2364,0,0,
2365,0,0,
2366,0,0,
2367,0,0,
2368,0,0,
2369,0,0,
2370,0,0,
2371,0,1,
2372,0,0,
2373,0,0,
2374,0,0,
2375,0,0,
2376,0,0,
2377,0,0,
2378,0,0,
2379,0,0,
2380,0,0,
2381,0,1,
2382,0,0,
2383,0,0,
2384,0,0,
2385,0,1,
2386,1,1,
2387,0,0,
2388,0,0,
2389,0,0,
2390,0,0,
2391,0,0,
2392,0,0,
2393,0,0,
2394,1,0,
2395,0,0,
2396,0,0,
2397,1,1,
2398,1,1,
2399,1,0,
2400,1,1,
2401,0,0,
2402,1,1,
2403,0,0,
2404,1,1,
2405,0,0,
2406,1,1,
